target_genome	Collection_Date	Latitude	Longitude	Generic_Host	Source_Niche	Source_Type	PhG	ST	CC	Number_Inc	Acq_Resist	Year	n_contigs_genome	n_hits_genome	median_pid_genome	median_cov_genome
379	SAMN06700868	2017-01-01	40.2671941	-86.1349019	Swine	Livestock	Swine	F	457	NA	3	Yes	2017	1	35	98.98	100
380	SAMN06712425	2017-01-01	37.9642529	-91.8318334	Swine	Livestock	Swine	A	617	ST10 Cplx	5	Yes	2017	2	31	98.83	100
381	SAMN06712424	2017-01-01	46.729553	-94.6858998	Swine	Livestock	Swine	C	88	ST23 Cplx	2	Yes	2017	17	65	99.425	100
382	SAMN06712431	2017-01-01	40.2671941	-86.1349019	Swine	Livestock	Swine	A	793	ST206 Cplx	1	No	2017	1	2	96.924	95.8025
383	SAMN06689623	2015-01-01	41.2033216	-77.1945247	Bovine	Food	Bovine	D	1870	NA	2	No	2015	4	38	98.6995	100
384	SAMN06689620	2015-01-01	41.2033216	-77.1945247	Bovine	Food	Bovine	A	409	NA	2	No	2015	0	0	0	0
385	SAMN06689622	2015-01-01	41.2033216	-77.1945247	Bovine	Food	Bovine	A	409	NA	2	No	2015	0	0	0	0
386	SAMN06689619	2015-01-01	41.2033216	-77.1945247	Bovine	Food	Bovine	A	409	NA	2	No	2015	0	0	0	0
387	SAMN06689618	2015-01-01	41.2033216	-77.1945247	Bovine	Food	Bovine	A	409	NA	3	Yes	2015	1	31	98.936	100
388	SAMN06645802	2015-05-01	35.5174913	-86.5804473	Swine	Livestock	Swine	B1	155	ST155 Cplx	4	Yes	2015	0	0	0	0
389	SAMN06461736	2017-01-01	40.4172871	-82.907123	Bovine	Livestock	Bovine	A	1584	NA	1	Yes	2017	0	0	0	0
390	SAMN05326696	2015-05-01	47.7510741	-120.7401385	Bovine	Food	Bovine	B1	679	ST469 Cplx	2	No	2015	0	0	0	0
391	SAMN05326678	2015-04-01	41.2033216	-77.1945247	Bovine	Food	Bovine	E	11	ST11 Cplx	0	No	2015	1	1	91.584	99.753
392	SAMN05326673	2015-04-01	41.2033216	-77.1945247	Bovine	Food	Bovine	E	11	ST11 Cplx	1	No	2015	1	2	94.607	99.8765
393	SAMN07197390	2017-01-01	44.3148443	-85.6023643	Bovine	Livestock	Bovine	B1	278	ST278 Cplx	4	Yes	2017	2	37	99.248	100
394	SAMN07197387	2017-01-01	44.3148443	-85.6023643	Swine	Livestock	Swine	A	10	ST10 Cplx	2	Yes	2017	2	36	99.137	100
395	SAMN07283931	2017-01-01	35.5174913	-86.5804473	Swine	Livestock	Swine	B1	58	ST155 Cplx	3	Yes	2017	1	35	99.174	100
396	SAMN07283930	2017-01-01	31.9685988	-99.9018131	Swine	Livestock	Swine	A	206	ST206 Cplx	2	Yes	2017	0	0	0	0
397	SAMN07291231	2017-01-01	36.778261	-119.4179324	Swine	Livestock	Swine	E	7484	NA	4	Yes	2017	1	35	98.864	100
398	SAMN07291232	2017-01-01	41.8780025	-93.097702	Swine	Livestock	Swine	B1	3321	ST86 Cplx	2	Yes	2017	3	38	98.8615	100
399	SAMN07371050	2017-01-01	41.4925374	-99.9018131	Swine	Livestock	Swine	A	34	ST10 Cplx	6	Yes	2017	4	39	98.864	100
400	SAMN07371049	2017-01-01	37.4315734	-78.6568942	Swine	Livestock	Swine	A	1632	NA	3	Yes	2017	0	0	0	0
401	SAMN07371047	2017-01-01	39.011902	-98.4842465	Bovine	Livestock	Bovine	D	69	ST69 Cplx	6	Yes	2017	1	35	98.864	100
402	SAMN07371046	2017-01-01	35.0077519	-97.092877	Swine	Livestock	Swine	A	10	ST10 Cplx	4	Yes	2017	1	1	52.778	49.315
403	SAMN07371048	2017-01-01	35.5174913	-86.5804473	Swine	Livestock	Swine	A	540	NA	2	No	2017	1	1	54.054	50.685
404	SAMN07371045	2017-01-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	B1	56	ST155 Cplx	0	Yes	2017	0	0	0	0
405	SAMN07374667	2017-01-01	32.3182314	-86.902298	Poultry	Poultry	Chicken	B1	155	ST155 Cplx	3	Yes	2017	1	12	99.423	100
406	SAMN07374664	2017-01-01	36.778261	-119.4179324	Swine	Livestock	Swine	A	46	ST46 Cplx	4	Yes	2017	2	37	99.425	100
407	SAMN07411238	2017-01-01	40.6331249	-89.3985283	Swine	Livestock	Swine	C	410	ST23 Cplx	4	Yes	2017	2	36	98.958	100
408	SAMN07410344	2017-01-01	41.8780025	-93.097702	Swine	Livestock	Swine	A	10	ST10 Cplx	1	No	2017	0	0	0	0
409	SAMN07410335	2017-01-01	40.6331249	-89.3985283	Swine	Livestock	Swine	C	7539	ST23 Cplx	3	Yes	2017	1	12	98.826	100
410	SAMN07410333	2017-01-01	40.6331249	-89.3985283	Swine	Livestock	Swine	A	7538	NA	4	Yes	2017	1	34	98.8405	100
411	SAMN07410330	2017-01-01	41.2033216	-77.1945247	Swine	Livestock	Swine	A	953	NA	1	Yes	2017	2	13	98.104	99.038
412	SAMN07229622	2017-01-01	40.4172871	-82.907123	Bovine	Livestock	Bovine	D	69	ST69 Cplx	5	Yes	2017	1	35	99.206	100
413	SAMN07229639	2017-01-01	40.4172871	-82.907123	Swine	Livestock	Swine	C	410	ST23 Cplx	6	Yes	2017	2	15	98.104	95.885
414	SAMN07374662	2017-01-01	40.2671941	-86.1349019	Swine	Livestock	Swine	B1	58	ST155 Cplx	4	Yes	2017	1	35	99.174	100
415	SAMN07374666	2017-01-01	31.9685988	-99.9018131	Bovine	Livestock	Bovine	B1	154	NA	2	No	2017	2	36	98.2255	100
416	SAMN07440315	2017-01-01	41.8780025	-93.097702	Swine	Livestock	Swine	C	88	ST23 Cplx	2	Yes	2017	1	35	98.936	100
417	SAMN07440313	2017-01-01	40.6331249	-89.3985283	Swine	Livestock	Swine	B1	7551	NA	4	Yes	2017	1	2	95.5515	99.8765
418	SAMN07450956	2017-01-01	40.2671941	-86.1349019	Swine	Livestock	Swine	B1	1079	NA	0	Yes	2017	0	0	0	0
419	SAMN07450952	2017-01-01	41.8780025	-93.097702	Swine	Livestock	Swine	B1	101	ST101 Cplx	2	Yes	2017	2	36	99.339	100
420	SAMN07450949	2017-01-01	39.011902	-98.4842465	Swine	Livestock	Swine	B1	58	ST155 Cplx	1	Yes	2017	0	0	0	0
421	SAMN07450951	2017-01-01	36.778261	-119.4179324	Swine	Livestock	Swine	B1	345	NA	5	Yes	2017	1	12	98.187	100
422	SAMN07450955	2017-01-01	40.4172871	-82.907123	Swine	Livestock	Swine	B1	767	ST155 Cplx	7	Yes	2017	14	56	99.1445	100
423	SAMN07450958	2017-01-01	35.7595731	-79.0192997	Swine	Livestock	Swine	A	10	ST10 Cplx	3	Yes	2017	0	0	0	0
424	SAMN07537148	2017-01-01	44.3148443	-85.6023643	Swine	Livestock	Swine	F	6630	NA	5	Yes	2017	0	0	0	0
425	SAMN07537146	2017-01-01	35.7595731	-79.0192997	Swine	Livestock	Swine	A	93	ST168 Cplx	7	Yes	2017	2	20	99.3385	100
426	SAMN07537151	2017-01-01	40.6331249	-89.3985283	Swine	Livestock	Swine	A	7620	NA	3	Yes	2017	0	0	0	0
427	SAMN07537143	2017-01-01	35.0077519	-97.092877	Swine	Livestock	Swine	B1	2077	NA	2	Yes	2017	0	0	0	0
428	SAMN07537105	2017-01-01	35.5174913	-86.5804473	Swine	Livestock	Swine	A	4656	NA	3	Yes	2017	0	0	0	0
429	SAMN07537101	2017-01-01	41.8780025	-93.097702	Swine	Livestock	Swine	D	69	ST69 Cplx	4	Yes	2017	1	35	98.98	100
430	SAMN07537107	2017-01-01	36.778261	-119.4179324	Swine	Livestock	Swine	B1	316	ST278 Cplx	4	Yes	2017	1	36	99.248	100
431	SAMN07608072	2017-01-01	34.0489281	-111.0937311	Bovine	Livestock	Bovine	B1	6021	NA	3	Yes	2017	25	61	99.213	99.526
432	SAMN07608075	2017-01-01	39.5500507	-105.7820674	Bovine	Livestock	Bovine	B1	3602	NA	4	Yes	2017	1	36	99.248	100
433	SAMN07608071	2017-01-01	37.4315734	-78.6568942	Swine	Livestock	Swine	A	10	ST10 Cplx	1	Yes	2017	1	33	98.079	100
434	SAMN07608069	2017-01-01	41.4925374	-99.9018131	Bovine	Livestock	Bovine	D	38	ST38 Cplx	5	No	2017	2	18	98.838	100
435	SAMN07645991	2017-01-01	44.5588028	-72.5778415	Swine	Livestock	Swine	C	88	ST23 Cplx	4	Yes	2017	1	33	99.24	100
436	SAMN07645984	2017-01-01	41.4925374	-99.9018131	Swine	Livestock	Swine	B1	58	ST155 Cplx	5	Yes	2017	2	33	99.24	100
437	SAMN07645987	2017-01-01	41.2033216	-77.1945247	Bovine	Livestock	Bovine	B1	101	ST101 Cplx	2	Yes	2017	1	1	100	100
438	SAMN07645983	2017-01-01	41.4925374	-99.9018131	Swine	Livestock	Swine	C	88	ST23 Cplx	5	Yes	2017	2	35	99.13	100
439	SAMN07645989	2017-01-01	36.778261	-119.4179324	Swine	Livestock	Swine	E	846	NA	1	Yes	2017	0	0	0	0
440	SAMN07645985	2017-01-01	37.8393332	-84.2700179	Swine	Livestock	Swine	B1	58	ST155 Cplx	3	Yes	2017	2	36	98.951	100
441	SAMN07645993	2017-01-01	43.7844397	-88.7878678	Swine	Livestock	Swine	D	7647	NA	1	Yes	2017	0	0	0	0
442	SAMN07645994	2017-01-01	39.011902	-98.4842465	Bovine	Livestock	Bovine	B1	7648	NA	6	Yes	2017	5	39	97.183	100
443	SAMN07665810	2017-01-01	40.6331249	-89.3985283	Swine	Livestock	Swine	A	542	NA	1	Yes	2017	0	0	0	0
444	SAMN07665807	2017-01-01	35.7595731	-79.0192997	Swine	Livestock	Swine	E	7651	NA	2	Yes	2017	0	0	0	0
445	SAMN07665811	2017-01-01	40.6331249	-89.3985283	Swine	Livestock	Swine	A	10	ST10 Cplx	3	Yes	2017	1	35	98.859	100
446	SAMN07722654	2017-01-01	36.778261	-119.4179324	Swine	Livestock	Swine	A	6605	ST10 Cplx	5	Yes	2017	1	30	97.793	100
447	SAMN07722649	2017-01-01	41.8780025	-93.097702	Poultry	Poultry	Turkey	B1	58	ST155 Cplx	3	Yes	2017	0	0	0	0
448	SAMN07722650	2017-01-01	41.8780025	-93.097702	Swine	Livestock	Swine	C	88	ST23 Cplx	2	Yes	2017	7	38	99.099	100
449	SAMN07722632	2017-01-01	35.7595731	-79.0192997	Swine	Livestock	Swine	B1	58	ST155 Cplx	4	Yes	2017	3	36	99.0765	100
450	SAMN07722646	2017-01-01	41.8780025	-93.097702	Swine	Livestock	Swine	B1	162	ST469 Cplx	1	Yes	2017	5	47	97.661	100
451	SAMN07722652	2017-01-01	40.2671941	-86.1349019	Swine	Livestock	Swine	A	100	ST165 Cplx	5	Yes	2017	6	40	98.9	100
452	SAMN07747738	2017-01-01	40.4172871	-82.907123	Bovine	Livestock	Bovine	B1	1611	NA	2	No	2017	1	10	55.332	92.644
453	SAMN07747782	2017-01-01	40.4172871	-82.907123	Bovine	Livestock	Bovine	B1	300	NA	2	No	2017	3	10	98.1175	96.6335
454	SAMN07781666	2017-07-01	35.20105	-91.8318334	Bovine	Livestock	Bovine	B1	7715	NA	3	No	2017	1	35	91.589	100
455	SAMN07781711	2017-01-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	1	No	2017	1	2	94.607	99.8765
456	SAMN07781715	2017-01-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	1	No	2017	0	0	0	0
457	SAMN07781721	2016-10-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	A	206	ST206 Cplx	4	No	2016	0	0	0	0
458	SAMN07781717	2017-01-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	1	No	2017	0	0	0	0
459	SAMN07781701	2017-05-01	35.20105	-91.8318334	Bovine	Livestock	Bovine	B1	723	ST29 Cplx	3	No	2017	0	0	0	0
460	SAMN07781684	2017-05-01	35.20105	-91.8318334	Bovine	Livestock	Bovine	A	329	NA	3	No	2017	4	36	91.981	100
461	SAMN07781682	2017-05-01	35.20105	-91.8318334	Bovine	Livestock	Bovine	B1	7724	ST155 Cplx	9	No	2017	2	7	91.341	99.753
462	SAMN07781675	2017-07-01	35.20105	-91.8318334	Bovine	Livestock	Bovine	B1	16	ST29 Cplx	3	No	2017	1	8	98.7445	100
463	SAMN07781674	2017-07-01	35.20105	-91.8318334	Bovine	Livestock	Bovine	B1	17	ST20 Cplx	1	No	2017	0	0	0	0
464	SAMN07781725	2016-10-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	B1	306	NA	0	No	2016	0	0	0	0
465	SAMN07747757	2017-01-01	40.4172871	-82.907123	Bovine	Livestock	Bovine	A	10	ST10 Cplx	0	No	2017	2	36	92.927	100
466	SAMN07747736	2017-01-01	40.4172871	-82.907123	Bovine	Livestock	Bovine	B1	1611	NA	1	No	2017	2	37	98.864	100
467	SAMN07747733	2017-01-01	40.4172871	-82.907123	Bovine	Livestock	Bovine	B1	2425	NA	2	No	2017	1	35	98.859	100
468	SAMN07747804	2017-01-01	40.4172871	-82.907123	Bovine	Livestock	Bovine	D	349	ST349 Cplx	5	Yes	2017	2	34	98.5995	100
469	SAMN07747791	2017-01-01	40.4172871	-82.907123	Bovine	Livestock	Bovine	B1	7812	NA	2	No	2017	2	37	98.864	100
470	SAMN07747760	2017-01-01	40.4172871	-82.907123	Bovine	Livestock	Bovine	B1	58	ST155 Cplx	3	No	2017	0	0	0	0
471	SAMN07747806	2017-01-01	40.4172871	-82.907123	Bovine	Livestock	Bovine	B1	58	ST155 Cplx	0	No	2017	0	0	0	0
472	SAMN07747746	2017-01-01	40.4172871	-82.907123	Bovine	Livestock	Bovine	B1	58	ST155 Cplx	1	Yes	2017	2	36	98.8615	100
473	SAMN07839418	2017-01-01	41.8780025	-93.097702	Swine	Livestock	Swine	B1	58	ST155 Cplx	5	Yes	2017	2	33	99.24	100
474	SAMN07839409	2017-01-01	37.9642529	-91.8318334	Swine	Livestock	Swine	C	88	ST23 Cplx	4	Yes	2017	2	35	98.936	100
475	SAMN07839429	2017-01-01	39.011902	-98.4842465	Bovine	Livestock	Bovine	B1	58	ST155 Cplx	1	Yes	2017	0	0	0	0
476	SAMN07839427	2017-01-01	35.7595731	-79.0192997	Swine	Livestock	Swine	B1	58	ST155 Cplx	5	Yes	2017	1	35	98.98	100
477	SAMN07839432	2017-01-01	40.6331249	-89.3985283	Swine	Livestock	Swine	A	7818	NA	2	Yes	2017	0	0	0	0
478	SAMN07839419	2017-01-01	46.729553	-94.6858998	Poultry	Poultry	Turkey	B1	58	ST155 Cplx	3	Yes	2017	0	0	0	0
479	SAMN07839421	2017-01-01	34.0489281	-111.0937311	Bovine	Livestock	Bovine	B1	58	ST155 Cplx	5	Yes	2017	1	35	98.864	100
480	SAMN07839413	2017-01-01	32.3182314	-86.902298	Swine	Livestock	Swine	A	898	NA	0	Yes	2017	0	0	0	0
481	SAMN07839410	2017-01-01	35.0077519	-97.092877	Swine	Livestock	Swine	B1	58	ST155 Cplx	4	Yes	2017	1	31	98.936	100
482	SAMN07839404	2017-01-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	B1	7820	NA	6	Yes	2017	5	6	88.9275	74.3525
483	SAMN07839424	2017-01-01	41.2033216	-77.1945247	Bovine	Livestock	Bovine	B1	603	NA	4	Yes	2017	1	36	99.248	100
484	SAMN07955797	2017-01-01	40.2671941	-86.1349019	Swine	Livestock	Swine	B1	58	ST155 Cplx	3	Yes	2017	1	33	99.24	100
485	SAMN07955809	2017-01-01	41.2033216	-77.1945247	Bovine	Livestock	Bovine	B1	58	ST155 Cplx	0	Yes	2017	0	0	0	0
486	SAMN07955806	2017-01-01	46.729553	-94.6858998	Swine	Livestock	Swine	B1	767	ST155 Cplx	7	Yes	2017	1	17	99.123	100
487	SAMN07955781	2017-01-01	39.011902	-98.4842465	Bovine	Livestock	Bovine	C	88	ST23 Cplx	2	Yes	2017	1	33	99.24	100
488	SAMN07955775	2017-01-01	46.729553	-94.6858998	Swine	Livestock	Swine	A	2514	ST10 Cplx	2	No	2017	4	35	98.802	100
489	SAMN07955783	2017-01-01	41.8780025	-93.097702	Swine	Livestock	Swine	B1	101	ST101 Cplx	4	Yes	2017	23	56	98.9105	99.6215
490	SAMN08025037	2017-01-01	41.8780025	-93.097702	Swine	Livestock	Swine	A	10	ST10 Cplx	3	Yes	2017	3	4	94.517	66.458
491	SAMN08025044	2017-01-01	41.4925374	-99.9018131	Bovine	Livestock	Bovine	B1	154	NA	4	Yes	2017	2	35	99.206	100
492	SAMN08025046	2017-01-01	40.4172871	-82.907123	Swine	Livestock	Swine	B1	58	ST155 Cplx	0	No	2017	0	0	0	0
493	SAMN08025038	2017-01-01	46.729553	-94.6858998	Swine	Livestock	Swine	C	88	ST23 Cplx	6	Yes	2017	3	31	98.63	100
494	SAMN08025040	2017-01-01	39.3209801	-111.0937311	Swine	Livestock	Swine	A	898	NA	3	Yes	2017	0	0	0	0
495	SAMN08025054	2017-01-01	41.2033216	-77.1945247	Swine	Livestock	Swine	B1	2328	NA	2	Yes	2017	1	35	98.864	100
496	SAMN08025050	2017-01-01	41.8780025	-93.097702	Poultry	Poultry	Turkey	B1	58	ST155 Cplx	3	Yes	2017	3	36	99.0515	100
497	SAMN08025049	2017-01-01	41.4925374	-99.9018131	Bovine	Livestock	Bovine	B1	58	ST155 Cplx	2	Yes	2017	1	36	98.5495	100
498	SAMN08025047	2017-01-01	40.4172871	-82.907123	Poultry	Poultry	Turkey	B1	155	ST155 Cplx	5	Yes	2017	1	35	98.936	100
499	SAMN08025056	2017-01-01	37.9642529	-91.8318334	Swine	Livestock	Swine	A	3630	NA	4	Yes	2017	1	33	98.63	100
500	SAMN08052682	2017-01-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	B1	937	NA	1	Yes	2017	1	35	98.63	100
501	SAMN08051582	2017-01-01	36.778261	-119.4179324	Swine	Livestock	Swine	A	206	ST206 Cplx	3	Yes	2017	1	35	98.98	100
502	SAMN08051580	2017-01-01	46.729553	-94.6858998	Swine	Livestock	Swine	B1	58	ST155 Cplx	5	Yes	2017	3	33	98.906	100
503	SAMN08051579	2017-01-01	35.7595731	-79.0192997	Swine	Livestock	Swine	A	10	ST10 Cplx	2	Yes	2017	1	28	98.83	100
504	SAMN08051577	2017-01-01	40.4172871	-82.907123	Swine	Livestock	Swine	A	10	ST10 Cplx	4	Yes	2017	1	35	98.859	100
505	SAMN08167534	2017-01-01	41.8780025	-93.097702	Swine	Livestock	Swine	F	117	NA	5	Yes	2017	3	36	98.8615	100
506	SAMN07989023	2017-03-01	39.011902	-98.4842465	Bovine	Livestock	Bovine	B1	345	NA	2	Yes	2017	1	35	99.123	100
507	SAMN08167597	2017-01-01	46.729553	-94.6858998	Swine	Livestock	Swine	A	10	ST10 Cplx	4	Yes	2017	2	3	99.015	100
508	SAMN08167609	2017-01-01	41.4925374	-99.9018131	Bovine	Livestock	Bovine	A	2035	NA	2	Yes	2017	0	0	0	0
509	SAMN08167633	2017-01-01	39.011902	-98.4842465	Bovine	Livestock	Bovine	B1	58	ST155 Cplx	3	Yes	2017	2	12	99.0255	100
510	SAMN08167608	2017-01-01	44.3148443	-85.6023643	Swine	Livestock	Swine	B1	58	ST155 Cplx	3	Yes	2017	1	33	99.24	100
511	SAMN08167634	2017-01-01	41.4925374	-99.9018131	Swine	Livestock	Swine	C	88	ST23 Cplx	4	Yes	2017	1	31	99.13	100
512	SAMN08167632	2017-01-01	41.4925374	-99.9018131	Bovine	Livestock	Bovine	B1	58	ST155 Cplx	1	Yes	2017	0	0	0	0
513	SAMN08182231	2017-01-01	36.778261	-119.4179324	Swine	Livestock	Swine	A	540	NA	1	Yes	2017	0	0	0	0
514	SAMN08182236	2017-01-01	46.729553	-94.6858998	Swine	Livestock	Swine	B1	154	NA	2	No	2017	0	0	0	0
515	SAMN08182234	2017-01-01	43.7844397	-88.7878678	Bovine	Livestock	Bovine	B1	336	ST278 Cplx	0	Yes	2017	0	0	0	0
516	SAMN08182233	2017-01-01	37.8393332	-84.2700179	Swine	Livestock	Swine	B1	7964	NA	3	No	2017	4	33	98.936	100
517	SAMN08182235	2017-01-01	35.7595731	-79.0192997	Swine	Livestock	Swine	C	410	ST23 Cplx	1	No	2017	0	0	0	0
518	SAMN07781696	2017-05-01	35.20105	-91.8318334	Bovine	Livestock	Bovine	A	329	NA	3	No	2017	10	50	90.7875	99.763
519	SAMN07781676	2017-07-01	35.20105	-91.8318334	Bovine	Livestock	Bovine	B1	16	ST29 Cplx	3	No	2017	1	1	74.194	31.633
520	SAMN07781681	2017-05-01	35.20105	-91.8318334	Bovine	Livestock	Bovine	B1	7724	ST155 Cplx	5	No	2017	0	0	0	0
521	SAMN07781663	2017-07-01	35.20105	-91.8318334	Bovine	Livestock	Bovine	B1	7715	NA	3	No	2017	2	35	91.589	100
522	SAMN07781657	2017-07-01	35.20105	-91.8318334	Bovine	Livestock	Bovine	B1	7715	NA	0	No	2017	0	0	0	0
523	SAMN07781658	2017-07-01	35.20105	-91.8318334	Bovine	Livestock	Bovine	B1	7715	NA	3	No	2017	2	36	91.389	100
524	SAMN08226274	2017-01-01	35.7595731	-79.0192997	Swine	Livestock	Swine	A	7986	NA	1	Yes	2017	0	0	0	0
525	SAMN08226272	2017-01-01	41.4925374	-99.9018131	Swine	Livestock	Swine	F	117	NA	3	Yes	2017	4	37	99.197	100
526	SAMN08272741	2017-01-01	44.3148443	-85.6023643	Poultry	Poultry	Turkey	B1	58	ST155 Cplx	5	Yes	2017	1	35	98.936	100
527	SAMN08272745	2017-01-01	40.6331249	-89.3985283	Swine	Livestock	Swine	A	10	ST10 Cplx	2	Yes	2017	1	31	98.83	100
528	SAMN08272744	2017-01-01	31.9685988	-99.9018131	Bovine	Livestock	Bovine	E	3381	NA	1	Yes	2017	1	36	98.838	100
529	SAMN08272747	2017-01-01	40.6331249	-89.3985283	Swine	Livestock	Swine	A	206	ST206 Cplx	1	No	2017	0	0	0	0
530	SAMN08272748	2017-01-01	37.9642529	-91.8318334	Swine	Livestock	Swine	A	1072	NA	7	Yes	2017	2	2	56.9695	39.7955
531	SAMN08289314	2017-01-01	41.8780025	-93.097702	Swine	Livestock	Swine	B2	131	ST131 Cplx	3	Yes	2017	1	33	99.24	100
532	SAMN08289315	2017-01-01	41.8780025	-93.097702	Swine	Livestock	Swine	A	2514	ST10 Cplx	5	Yes	2017	14	72	98.1025	100
533	SAMN08289312	2017-01-01	40.2671941	-86.1349019	Swine	Livestock	Swine	B1	58	ST155 Cplx	7	Yes	2017	0	0	0	0
534	SAMN08289295	2017-01-01	41.4925374	-99.9018131	Swine	Livestock	Swine	C	88	ST23 Cplx	5	No	2017	22	63	98.864	99.753
535	SAMN08289303	2017-01-01	41.8780025	-93.097702	Swine	Livestock	Swine	C	88	ST23 Cplx	6	Yes	2017	31	110	98.63	100
536	SAMN08289299	2017-01-01	37.4315734	-78.6568942	Swine	Livestock	Swine	C	2230	ST23 Cplx	8	Yes	2017	1	10	98.903	100
537	SAMN08347873	2017-01-01	36.778261	-119.4179324	Swine	Livestock	Swine	A	540	NA	1	Yes	2017	0	0	0	0
538	SAMN08347869	2017-01-01	41.4925374	-99.9018131	Bovine	Livestock	Bovine	B1	164	NA	0	No	2017	0	0	0	0
539	SAMN08347874	2017-01-01	40.6331249	-89.3985283	Swine	Livestock	Swine	B1	1307	NA	4	Yes	2017	0	0	0	0
540	SAMN08347847	2017-01-01	46.729553	-94.6858998	Swine	Livestock	Swine	A	6534	NA	4	Yes	2017	8	37	98.634	100
541	SAMN08347846	2017-01-01	41.8780025	-93.097702	Swine	Livestock	Swine	A	34	ST10 Cplx	5	No	2017	2	33	99.565	100
542	SAMN08347856	2017-01-01	40.6331249	-89.3985283	Swine	Livestock	Swine	C	3564	ST23 Cplx	7	Yes	2017	4	39	98.817	100
543	SAMN08347853	2017-01-01	41.8780025	-93.097702	Swine	Livestock	Swine	B1	155	ST155 Cplx	2	Yes	2017	22	66	98.4965	100
544	SAMN08347848	2017-01-01	41.4925374	-99.9018131	Swine	Livestock	Swine	B1	196	NA	1	Yes	2017	0	0	0	0
545	SAMN08387158	2017-01-01	44.3148443	-85.6023643	Bovine	Livestock	Bovine	B1	58	ST155 Cplx	0	No	2017	0	0	0	0
546	SAMN08387166	2017-01-01	37.8393332	-84.2700179	Swine	Livestock	Swine	C	88	ST23 Cplx	0	No	2017	1	1	54.054	50.685
547	SAMN08387164	2017-01-01	36.778261	-119.4179324	Swine	Livestock	Swine	A	93	ST168 Cplx	5	Yes	2017	1	19	98.936	100
548	SAMN08387163	2017-01-01	41.2033216	-77.1945247	Swine	Livestock	Swine	A	10	ST10 Cplx	0	Yes	2017	0	0	0	0
549	SAMN08387162	2017-01-01	40.4172871	-82.907123	Swine	Livestock	Swine	A	10	ST10 Cplx	5	Yes	2017	1	33	98.864	100
550	SAMN08380138	2017-01-01	40.2671941	-86.1349019	Swine	Livestock	Swine	A	10	ST10 Cplx	3	Yes	2017	3	20	97.6145	100
551	SAMN08380139	2017-01-01	37.4315734	-78.6568942	Poultry	Poultry	Turkey	B1	58	ST155 Cplx	4	Yes	2017	24	59	99.425	99.49
552	SAMN08380144	2017-01-01	35.20105	-91.8318334	Poultry	Poultry	Turkey	B1	155	ST155 Cplx	3	Yes	2017	2	34	99.306	100
553	SAMN08380141	2017-01-01	35.7595731	-79.0192997	Poultry	Poultry	Turkey	B1	58	ST155 Cplx	5	Yes	2017	24	65	98.485	99.506
554	SAMN08380136	2017-01-01	46.729553	-94.6858998	Swine	Livestock	Swine	F	117	NA	6	Yes	2017	2	37	98.805	100
555	SAMN08362363	2017-01-01	35.7595731	-79.0192997	Swine	Livestock	Swine	A	10	ST10 Cplx	0	Yes	2017	0	0	0	0
556	SAMN08362293	2017-01-01	43.7844397	-88.7878678	Swine	Livestock	Swine	A	10	ST10 Cplx	3	Yes	2017	0	0	0	0
557	SAMN08362335	2017-01-01	39.3209801	-111.0937311	Bovine	Livestock	Bovine	B1	641	ST86 Cplx	0	Yes	2017	0	0	0	0
558	SAMN08362365	2017-01-01	41.4925374	-99.9018131	Swine	Livestock	Swine	B1	2522	NA	2	Yes	2017	0	0	0	0
559	SAMN08362366	2017-01-01	31.9685988	-99.9018131	Bovine	Livestock	Bovine	B1	164	NA	3	Yes	2017	1	36	99.248	100
560	SAMN08362333	2017-01-01	41.8780025	-93.097702	Swine	Livestock	Swine	B1	101	ST101 Cplx	3	Yes	2017	1	33	99.248	100
561	SAMN08226267	2017-01-01	40.2671941	-86.1349019	Swine	Livestock	Swine	B1	847	NA	9	Yes	2017	3	44	97.1175	100
562	SAMN08355151	2014-01-01	36.778261	-119.4179324	Bovine	Livestock	Bovine	E	11	ST11 Cplx	2	No	2014	0	0	0	0
563	SAMN08472609	2018-01-01	41.4925374	-99.9018131	Bovine	Livestock	Bovine	B1	109	NA	2	Yes	2018	0	0	0	0
564	SAMN08472611	2018-01-01	45.253783	-69.4454689	Swine	Livestock	Swine	B1	1079	NA	1	Yes	2018	0	0	0	0
565	SAMN08146168	2017-11-01	35.7595731	-79.0192997	Poultry	Poultry	Turkey	D	1011	NA	5	Yes	2017	1	33	98.901	100
566	SAMN08146185	2017-11-01	35.7595731	-79.0192997	Poultry	Poultry	Turkey	B1	297	NA	7	Yes	2017	1	35	98.936	100
567	SAMN08146308	2017-11-01	35.7595731	-79.0192997	Poultry	Poultry	Turkey	B2	646	NA	7	Yes	2017	1	6	95.6875	100
568	SAMN08146203	2017-11-01	35.7595731	-79.0192997	Poultry	Poultry	Turkey	A	48	ST10 Cplx	4	Yes	2017	1	33	98.864	100
