new_protein_ids	accession_id	protein_id	gene	seq_len	protein_des	ReplacedBy	Organism_old	Title_old	SubType	SubName	Organism_new	Title_new	Status	gene_name	Plasmid	GenBank.Number	Host	Protein	query_protein_len
WP_001287898.1	NC_014382	YP_003829006.1	trba	348	type IV secretion	WP_001287898.1	Escherichia coli F18+	type IV secretion-like conjugative transfer system (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_B24|clinical isolate|B24|Homo sapiens	Enterobacteriaceae	MULTISPECIES: conjugal transfer protein TrbA [Enterobacteriaceae]	NA	trba	pEC_B24	NC_014382	Escherichia coli	TrbA	115
WP_013279280.1	NC_014382	YP_003829010.1	trbc	666	conjugal transfer protein	WP_013279280.1	Escherichia coli F18+	conjugal transfer protein (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_B24|clinical isolate|B24|Homo sapiens	Escherichia coli	type-F conjugative transfer system pilin assembly protein TrbC [Escherichia coli]	suppressed	trbc	pEC_B24	NC_014382	Escherichia coli	TrbC	221
WP_013279287.1	NC_014382	YP_003829018.1	trbd	411	conjugal transfer protein	WP_013279287.1	Escherichia coli F18+	conjugal transfer protein (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_B24|clinical isolate|B24|Homo sapiens	Escherichia coli	conjugal transfer protein TrbD [Escherichia coli]	suppressed	trbd	pEC_B24	NC_014382	Escherichia coli	TrbD	136
WP_001332343.1	NC_014382	YP_003829008.1	trbe	261	conjugal transfer protein	WP_001332343.1	Escherichia coli F18+	conjugal transfer protein (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_B24|clinical isolate|B24|Homo sapiens	Aeromonas media	conjugal transfer protein TrbE [Aeromonas media]	NA	trbe	pEC_B24	NC_014382	Escherichia coli	TrbE	86
WP_013279286.1	NC_014382	YP_003829017.1	trbg	267	conjugal transfer protein	WP_013279286.1	Escherichia coli F18+	conjugal transfer protein (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_B24|clinical isolate|B24|Homo sapiens	Escherichia coli	conjugal transfer protein TrbG [Escherichia coli]	suppressed	trbg	pEC_B24	NC_014382	Escherichia coli	TrbG	88
WP_013279283.1	NC_014382	YP_003829013.1	trbi	402	conjugal transfer protein	WP_013279283.1	Escherichia coli F18+	conjugal transfer protein (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_B24|clinical isolate|B24|Homo sapiens	Escherichia coli	type-F conjugative transfer system protein TrbI [Escherichia coli]	suppressed	trbi	pEC_B24	NC_014382	Escherichia coli	TrbI	133
WP_013279278.1	NC_014382	YP_003829003.1	trbj	444	conjugal transfer protein	WP_013279278.1	Escherichia coli F18+	conjugal transfer protein (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_B24|clinical isolate|B24|Homo sapiens	Escherichia coli	P-type conjugative transfer protein TrbJ [Escherichia coli]	suppressed	trbj	pEC_B24	NC_014382	Escherichia coli	TrbJ	147
WP_013279362.1	NC_014384	YP_003829162.1	fino	585	fertility inhibition protein	WP_013279362.1	Salmonella enterica subsp. enterica serovar Kentucky	fertility inhibition protein (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L8|clinical isolate|L8|Homo sapiens	Escherichia coli	fertility inhibition protein FinO [Escherichia coli]	suppressed	fino	pEC_L8	NC_014384	Escherichia coli	FinO	194
WP_013279359.1	NC_014384	YP_003829159.1	trad	2253	coupling protein	WP_013279359.1	Salmonella enterica subsp. enterica serovar Kentucky	coupling protein (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L8|clinical isolate|L8|Homo sapiens	Escherichia coli	type IV conjugative transfer system coupling protein TraD [Escherichia coli]	suppressed	trad	pEC_L8	NC_014384	Escherichia coli	TraD	750
WP_001007057.1	NC_014384	YP_003829156.1	trag	2820	type IV secretion	WP_001007057.1	Salmonella enterica subsp. enterica serovar Kentucky	type IV secretion-like conjugative transfer system protein (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L8|clinical isolate|L8|Homo sapiens	Enterobacteriaceae	MULTISPECIES: conjugal transfer mating-pair stabilization protein TraG [Enterobacteriaceae]	NA	trag	pEC_L8	NC_014384	Escherichia coli	TraG	939
WP_013279357.1	NC_014384	YP_003829155.1	trah	1380	F pilin assembly	WP_013279357.1	Salmonella enterica subsp. enterica serovar Kentucky	F pilin assembly (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L8|clinical isolate|L8|Homo sapiens	Escherichia coli	conjugal transfer pilus assembly protein TraH [Escherichia coli]	suppressed	trah	pEC_L8	NC_014384	Escherichia coli	TraH	459
WP_013279360.1	NC_014384	YP_003829160.1	trai	5274	nickase	WP_013279360.1	Salmonella enterica subsp. enterica serovar Kentucky	nickase/helicase (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L8|clinical isolate|L8|Homo sapiens	Escherichia coli	conjugative transfer relaxase/helicase TraI [Escherichia coli]	suppressed	trai	pEC_L8	NC_014384	Escherichia coli	TraI	1757
WP_013279349.1	NC_014384	YP_003829139.1	trap	627	conjugal transfer protein	WP_013279349.1	Salmonella sp. 14	conjugal transfer protein (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L8|clinical isolate|L8|Homo sapiens	Escherichia coli	conjugal transfer pilus-stabilizing protein TraP [Escherichia coli]	suppressed	trap	pEC_L8	NC_014384	Escherichia coli	TraP	208
WP_013279358.1	NC_014384	YP_003829158.1	trat	882	conjugal transfer surface exclusion protein	WP_013279358.1	Salmonella enterica subsp. enterica serovar Kentucky	conjugal transfer surface exclusion protein (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L8|clinical isolate|L8|Homo sapiens	Escherichia coli	conjugal transfer complement resistance protein TraT [Escherichia coli]	suppressed	trat	pEC_L8	NC_014384	Escherichia coli	TraT	293
WP_013279361.1	NC_014384	YP_003829161.1	trax	1218	F pilin acetylation protein	WP_013279361.1	Salmonella enterica subsp. enterica serovar Kentucky	F pilin acetylation protein (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L8|clinical isolate|L8|Homo sapiens	Escherichia coli	conjugal transfer pilus acetylase TraX [Escherichia coli]	suppressed	trax	pEC_L8	NC_014384	Escherichia coli	TraX	405
WP_013279350.1	NC_014384	YP_003829140.1	trbd	411	conjugal transfer protein	WP_013279350.1	Salmonella enterica subsp. enterica serovar Kentucky	conjugal transfer protein (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L8|clinical isolate|L8|Homo sapiens	Escherichia coli	conjugal transfer protein TrbD [Escherichia coli]	suppressed	trbd	pEC_L8	NC_014384	Escherichia coli	TrbD	136
WP_013279346.1	NC_014385	YP_003829259.1	traa	387	F pilin subunit	WP_013279346.1	Escherichia coli F18+	F pilin subunit (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L46|clinical isolate|L46|Homo sapiens	Escherichia coli	type IV conjugative transfer system pilin TraA [Escherichia coli]	suppressed	traa	pEC_L46	NC_014385	Escherichia coli	TraA	128
WP_013279348.1	NC_014385	YP_003829263.1	trab	1431	F pilin assembly	WP_013279348.1	Shigella flexneri	F pilin assembly (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L46|clinical isolate|L46|Homo sapiens	Escherichia coli	F-type conjugal transfer pilus assembly protein TraB [Escherichia coli]	suppressed	trab	pEC_L46	NC_014385	Escherichia coli	TraB	476
WP_013279381.1	NC_014385	YP_003829267.1	trac	2634	F pilin assembly	WP_013279381.1	Shigella flexneri	F pilin assembly (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L46|clinical isolate|L46|Homo sapiens	Escherichia coli	type IV secretion system protein TraC [Escherichia coli]	suppressed	trac	pEC_L46	NC_014385	Escherichia coli	TraC	877
WP_000399804.1	NC_014385	YP_003829261.1	trae	567	F pilin assembly	WP_000399804.1	Escherichia coli F18+	F pilin assembly (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L46|clinical isolate|L46|Homo sapiens	Enterobacteriaceae	MULTISPECIES: type IV conjugative transfer system protein TraE [Enterobacteriaceae]	NA	trae	pEC_L46	NC_014385	Escherichia coli	TraE	188
WP_013279396.1	NC_014385	YP_003829308.1	trai	3240	nickase	WP_013279396.1	Salmonella sp. 14	nickase/helicase (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L46|clinical isolate|L46|Homo sapiens	Escherichia coli	MobF family relaxase [Escherichia coli]	suppressed	trai	pEC_L46	NC_014385	Escherichia coli	TraI	1079
WP_013279397.1	NC_014385	YP_003829309.1	traj	1578	regulation protein	WP_013279397.1	Salmonella sp. 14	regulation protein (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L46|clinical isolate|L46|Homo sapiens	Escherichia coli	type IV secretion system DNA-binding domain-containing protein [Escherichia coli]	suppressed	traj	pEC_L46	NC_014385	Escherichia coli	TraD	525
WP_013279347.1	NC_014385	YP_003829262.1	trak	750	F pilin assembly	WP_013279347.1	Shigella flexneri	F pilin assembly (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L46|clinical isolate|L46|Homo sapiens	Escherichia coli	type-F conjugative transfer system secretin TraK [Escherichia coli]	suppressed	trak	pEC_L46	NC_014385	Escherichia coli	TraK	249
WP_000986844.1	NC_014385	YP_003829260.1	tral	315	F pilin assembly	WP_000986844.1	Escherichia coli F18+	F pilin assembly (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L46|clinical isolate|L46|Homo sapiens	Escherichia coli	type IV conjugative transfer system protein TraL [Escherichia coli]	suppressed	tral	pEC_L46	NC_014385	Escherichia coli	TraL	104
WP_001151564.1	NC_014385	YP_003829256.1	tram	384	mating signal	WP_001151564.1	Escherichia coli F18+	mating signal (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L46|clinical isolate|L46|Homo sapiens	Enterobacteriaceae	MULTISPECIES: conjugal transfer relaxosome DNA-binding protein TraM [Enterobacteriaceae]	NA	tram	pEC_L46	NC_014385	Escherichia coli	TraM	127
WP_000821863.1	NC_014385	YP_003829273.1	tran	1809	type IV secretion	WP_000821863.1	Salmonella sp. 14	type IV secretion-like conjugative transfer system mating pair stabilization protein (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L46|clinical isolate|L46|Homo sapiens	Enterobacteriaceae	MULTISPECIES: type-F conjugative transfer system mating-pair stabilization protein TraN [Enterobacteriaceae]	NA	tran	pEC_L46	NC_014385	Escherichia coli	TraN	602
WP_001448202.1	NC_014385	YP_003829276.1	traq	285	conjugal transfer protein	WP_001448202.1	Salmonella sp. 14	conjugal transfer protein (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L46|clinical isolate|L46|Homo sapiens	Enterobacteriaceae	MULTISPECIES: type-F conjugative transfer system pilin chaperone TraQ [Enterobacteriaceae]	NA	traq	pEC_L46	NC_014385	Escherichia coli	TraQ	94
WP_001278978.1	NC_014385	YP_003829266.1	trar	222	conjugal transfer protein	WP_001278978.1	Shigella flexneri	conjugal transfer protein (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L46|clinical isolate|L46|Homo sapiens	Enterobacteriaceae	MULTISPECIES: conjugal transfer protein TraR [Enterobacteriaceae]	NA	trar	pEC_L46	NC_014385	Escherichia coli	TraR	73
WP_013279354.1	NC_014385	YP_003829270.1	trau	1020	F pilin assembly	WP_013279354.1	Salmonella sp. 14	F pilin assembly (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L46|clinical isolate|L46|Homo sapiens	Escherichia coli	conjugal transfer pilus assembly protein TraU [Escherichia coli]	suppressed	trau	pEC_L46	NC_014385	Escherichia coli	TraU	339
WP_000809893.1	NC_014385	YP_003829265.1	trav	516	F pilin assembly	WP_000809893.1	Shigella flexneri	F pilin assembly (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L46|clinical isolate|L46|Homo sapiens	Enterobacteriaceae	MULTISPECIES: type IV conjugative transfer system lipoprotein TraV [Enterobacteriaceae]	NA	trav	pEC_L46	NC_014385	Escherichia coli	TraV	171
WP_013279353.1	NC_014385	YP_003829269.1	traw	747	F pilin assembly	WP_013279353.1	Salmonella sp. 14	F pilin assembly (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L46|clinical isolate|L46|Homo sapiens	Enterobacteriaceae	MULTISPECIES: type-F conjugative transfer system protein TraW [Enterobacteriaceae]	suppressed	traw	pEC_L46	NC_014385	Escherichia coli	TraW	248
WP_001287905.1	NC_014385	YP_003829275.1	trba	339	conjugal transfer protein	WP_001287905.1	Salmonella sp. 14	conjugal transfer protein (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L46|clinical isolate|L46|Homo sapiens	Enterobacteriaceae	MULTISPECIES: conjugal transfer protein TrbA [Enterobacteriaceae]	NA	trba	pEC_L46	NC_014385	Escherichia coli	TrbA	112
WP_000059824.1	NC_014385	YP_003829277.1	trbb	546	F pilin assembly periplasmic protein	WP_000059824.1	Salmonella sp. 14	F pilin assembly periplasmic protein (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L46|clinical isolate|L46|Homo sapiens	Enterobacteriaceae	MULTISPECIES: type-F conjugative transfer system pilin assembly thiol-disulfide isomerase TrbB [Enterobacteriaceae]	NA	trbb	pEC_L46	NC_014385	Escherichia coli	TrbB	181
WP_013279355.1	NC_014385	YP_003829272.1	trbc	651	F pilin assembly	WP_013279355.1	Salmonella sp. 14	F pilin assembly (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L46|clinical isolate|L46|Homo sapiens	Enterobacteriaceae	MULTISPECIES: type-F conjugative transfer system pilin assembly protein TrbC [Enterobacteriaceae]	suppressed	trbc	pEC_L46	NC_014385	Escherichia coli	TrbC	216
WP_001447782.1	NC_014385	YP_003829274.1	trbe	261	conjugal transfer protein	WP_001447782.1	Salmonella sp. 14	conjugal transfer protein (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L46|clinical isolate|L46|Homo sapiens	Enterobacteriaceae	MULTISPECIES: conjugal transfer protein TrbE [Enterobacteriaceae]	suppressed	trbe	pEC_L46	NC_014385	Escherichia coli	TrbE	86
WP_001448114.1	NC_014385	YP_003829279.1	trbf	426	conjugal transfer protein	WP_001448114.1	Salmonella sp. 14	conjugal transfer protein (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L46|clinical isolate|L46|Homo sapiens	Enterobacteriaceae	MULTISPECIES: F-type conjugal transfer protein TrbF [Enterobacteriaceae]	suppressed	trbf	pEC_L46	NC_014385	Escherichia coli	TrbF	141
WP_013279351.1	NC_014385	YP_003829264.1	trbg	267	conjugal transfer protein	WP_013279351.1	Shigella flexneri	conjugal transfer protein (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L46|clinical isolate|L46|Homo sapiens	Escherichia coli	conjugal transfer protein TrbG [Escherichia coli]	suppressed	trbg	pEC_L46	NC_014385	Escherichia coli	TrbG	88
WP_013279352.1	NC_014385	YP_003829268.1	trbi	402	conjugal transfer protein	WP_013279352.1	Salmonella sp. 14	conjugal transfer protein (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L46|clinical isolate|L46|Homo sapiens	Escherichia coli	type-F conjugative transfer system protein TrbI [Escherichia coli]	suppressed	trbi	pEC_L46	NC_014385	Escherichia coli	TrbI	133
WP_013279356.1	NC_014385	YP_003829278.1	trbj	423	conjugal transfer protein	WP_013279356.1	Salmonella sp. 14	conjugal transfer protein (plasmid) [Escherichia coli]	plasmid|note|strain|host	pEC_L46|clinical isolate|L46|Homo sapiens	Escherichia coli	P-type conjugative transfer protein TrbJ [Escherichia coli]	suppressed	trbj	pEC_L46	NC_014385	Escherichia coli	TrbJ	140
WP_000793310.1	NC_014476	YP_003864236.1	trac	2649	conjugative transfer assembly protein	WP_000793310.1	Salmonella enterica subsp. enterica serovar Kentucky	conjugative transfer assembly protein (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	plasmid|country|collection_date|serovar|host|sub_species|gb_synonym	pYT1|Japan: Hokkaido|19-Aug-2002|Typhimurium|Bos taurus|enterica|Salmonella typhimurium	Salmonella	MULTISPECIES: type IV secretion system protein TraC [Salmonella]	NA	trac	pYT1	NC_014476	Salmonella enterica	TraC	882
WP_000012129.1	NC_014476	YP_003864226.1	tral	312	conjugal transfer pilus assembly protein	WP_000012129.1	Salmonella enterica subsp. enterica serovar Kentucky	conjugal transfer pilus assembly protein (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	plasmid|country|collection_date|serovar|host|sub_species|gb_synonym	pYT1|Japan: Hokkaido|19-Aug-2002|Typhimurium|Bos taurus|enterica|Salmonella typhimurium	Salmonella	MULTISPECIES: type IV conjugative transfer system protein TraL [Salmonella]	NA	tral	pYT1	NC_014476	Salmonella enterica	TraL	103
WP_013307857.1	NC_014476	YP_003864222.1	tram	381	conjugative transfer protein	WP_013307857.1	Salmonella enterica subsp. enterica serovar Kentucky	conjugative transfer protein (plasmid) [Salmonella enterica subsp. enterica serovar Typhimurium]	plasmid|country|collection_date|serovar|host|sub_species|gb_synonym	pYT1|Japan: Hokkaido|19-Aug-2002|Typhimurium|Bos taurus|enterica|Salmonella typhimurium	Salmonella enterica	conjugal transfer relaxosome DNA-binding protein TraM [Salmonella enterica]	NA	tram	pYT1	NC_014476	Salmonella enterica	TraM	126
WP_013362804.1	NC_014615	YP_003937646.1	trad	2181	conjugal transfer coupling protein TraD	WP_013362804.1	Escherichia coli	conjugal transfer coupling protein TraD (plasmid) [Escherichia coli]	plasmid|strain	pETN48|O102-ST405	Enterobacteriaceae	MULTISPECIES: type IV conjugative transfer system coupling protein TraD [Enterobacteriaceae]	NA	trad	pETN48	NC_014615	Escherichia coli	TraD	726
WP_013362803.1	NC_014615	YP_003937643.1	trag	2826	mating contact stabilization protein TraG	WP_013362803.1	Escherichia coli	mating contact stabilization protein TraG (plasmid) [Escherichia coli]	plasmid|strain	pETN48|O102-ST405	Escherichia coli	conjugal transfer mating-pair stabilization protein TraG [Escherichia coli]	NA	trag	pETN48	NC_014615	Escherichia coli	TraG	941
WP_013362802.1	NC_014615	YP_003937642.1	trah	1377	F pilus assembly protein TraH	WP_013362802.1	Escherichia coli	F pilus assembly protein TraH (plasmid) [Escherichia coli]	plasmid|strain	pETN48|O102-ST405	Klebsiella	MULTISPECIES: conjugal transfer pilus assembly protein TraH [Klebsiella]	NA	trah	pETN48	NC_014615	Escherichia coli	TraH	458
WP_013362805.1	NC_014615	YP_003937647.1	trai	5121	protein TraI 	WP_013362805.1	Escherichia coli	protein TraI (DNA helicase I) (plasmid) [Escherichia coli]	plasmid|strain	pETN48|O102-ST405	Enterobacteriaceae	MULTISPECIES: conjugative transfer relaxase/helicase TraI [Enterobacteriaceae]	NA	trai	pETN48	NC_014615	Escherichia coli	TraI	1706
WP_000821840.1	NC_014615	YP_003937633.1	tran	1809	conjugal transfer mating contact stabilization protein TraN	WP_000821840.1	Escherichia coli	conjugal transfer mating contact stabilization protein TraN (plasmid) [Escherichia coli]	plasmid|strain	pETN48|O102-ST405	Enterobacteriaceae	MULTISPECIES: type-F conjugative transfer system mating-pair stabilization protein TraN [Enterobacteriaceae]	NA	tran	pETN48	NC_014615	Escherichia coli	TraN	602
WP_013362799.1	NC_014615	YP_003937622.1	trap	591	conjugal transfert protein TraP	WP_013362799.1	Escherichia coli	conjugal transfert protein TraP (plasmid) [Escherichia coli]	plasmid|strain	pETN48|O102-ST405	Enterobacteriaceae	MULTISPECIES: conjugal transfer pilus-stabilizing protein TraP [Enterobacteriaceae]	NA	trap	pETN48	NC_014615	Escherichia coli	TraP	196
WP_000628100.1	NC_014615	YP_003937644.1	tras	510	conjugal transfer entry exclusion protein TraS	WP_000628100.1	Escherichia coli	conjugal transfer entry exclusion protein TraS (plasmid) [Escherichia coli]	plasmid|strain	pETN48|O102-ST405	Enterobacteriaceae	MULTISPECIES: conjugal transfer entry exclusion protein TraS [Enterobacteriaceae]	NA	tras	pETN48	NC_014615	Escherichia coli	TraS	169
WP_000830180.1	NC_014615	YP_003937631.1	trau	993	conjugal transfer protein TraU	WP_000830180.1	Escherichia coli	conjugal transfer protein TraU (plasmid) [Escherichia coli]	plasmid|strain	pETN48|O102-ST405	Gammaproteobacteria	MULTISPECIES: conjugal transfer pilus assembly protein TraU [Gammaproteobacteria]	NA	trau	pETN48	NC_014615	Escherichia coli	TraU	330
WP_013362806.1	NC_014615	YP_003937648.1	trax	804	F pilin acetylase traX	WP_013362806.1	Escherichia coli	F pilin acetylase traX (plasmid) [Escherichia coli]	plasmid|strain	pETN48|O102-ST405	Escherichia coli	conjugal transfer pilus acetylase TraX [Escherichia coli]	suppressed	trax	pETN48	NC_014615	Escherichia coli	TraX	267
WP_001369361.1	NC_014615	YP_003937616.1	tray	402	oriT nicking conjugative transfer protein	WP_001369361.1	Escherichia coli	oriT nicking conjugative transfer protein (plasmid) [Escherichia coli]	plasmid|strain	pETN48|O102-ST405	Enterobacteriaceae	MULTISPECIES: conjugal transfer relaxosome DNA-bindin protein TraY [Enterobacteriaceae]	NA	tray	pETN48	NC_014615	Escherichia coli	TraY	133
WP_013362800.1	NC_014615	YP_003937632.1	trbc	642	F pilus assembly protein TrbC	WP_013362800.1	Escherichia coli	F pilus assembly protein TrbC (plasmid) [Escherichia coli]	plasmid|strain	pETN48|O102-ST405	Escherichia coli	type-F conjugative transfer system pilin assembly protein TrbC [Escherichia coli]	suppressed	trbc	pETN48	NC_014615	Escherichia coli	TrbC	213
WP_001352845.1	NC_014615	YP_003937623.1	trbd	231	hypothetical protein	WP_001352845.1	Escherichia coli	hypothetical protein ETN48_p0013 (plasmid) [Escherichia coli]	plasmid|strain	pETN48|O102-ST405	Escherichia coli	conjugal transfer protein TrbD [Escherichia coli]	NA	trbd	pETN48	NC_014615	Escherichia coli	TrbD	76
WP_000864312.1	NC_014615	YP_003937634.1	trbe	258	conjugal transfer protein TrbE	WP_000864312.1	Escherichia coli	conjugal transfer protein TrbE (plasmid) [Escherichia coli]	plasmid|strain	pETN48|O102-ST405	Enterobacteriaceae	MULTISPECIES: conjugal transfer protein TrbE [Enterobacteriaceae]	NA	trbe	pETN48	NC_014615	Escherichia coli	TrbE	85
WP_000164675.1	NC_014615	YP_003937641.1	trbf	393	TrbF protein	WP_000164675.1	Escherichia coli	TrbF protein (plasmid) [Escherichia coli]	plasmid|strain	pETN48|O102-ST405	Enterobacteriaceae	MULTISPECIES: F-type conjugal transfer protein TrbF [Enterobacteriaceae]	NA	trbf	pETN48	NC_014615	Escherichia coli	TrbF	130
WP_000099686.1	NC_014615	YP_003937629.1	trbi	387	F pilus extension	WP_000099686.1	Escherichia coli	F pilus extension/retraction protein TrbI (plasmid) [Escherichia coli]	plasmid|strain	pETN48|O102-ST405	Enterobacteriaceae	MULTISPECIES: type-F conjugative transfer system protein TrbI [Enterobacteriaceae]	NA	trbi	pETN48	NC_014615	Escherichia coli	TrbI	128
WP_013362801.1	NC_014615	YP_003937640.1	trbj	408	conjugal transfer protein TrbJ	WP_013362801.1	Escherichia coli	conjugal transfer protein TrbJ (plasmid) [Escherichia coli]	plasmid|strain	pETN48|O102-ST405	Enterobacteriaceae	MULTISPECIES: P-type conjugative transfer protein TrbJ [Enterobacteriaceae]	suppressed	trbj	pETN48	NC_014615	Escherichia coli	TrbJ	135
WP_000736414.1	NC_016039	YP_004870074.1	arta	336	protein ArtA	WP_000736414.1	Escherichia coli	protein ArtA (plasmid) [Escherichia coli]	plasmid|strain|host	pHK17a|P0014_S_T|pig	Enterobacteriaceae	MULTISPECIES: hypothetical protein [Enterobacteriaceae]	NA	arta	pHK17a	NC_016039	Escherichia coli	ArtA	111
WP_012881131.1	NC_016039	YP_004870052.1	traa	363	protein TraA	WP_012881131.1	Escherichia coli O25b:H4-ST131	protein TraA (plasmid) [Escherichia coli]	plasmid|strain|host	pHK17a|P0014_S_T|pig	Enterobacteriaceae	MULTISPECIES: type IV conjugative transfer system pilin TraA [Enterobacteriaceae]	NA	traa	pHK17a	NC_016039	Escherichia coli	TraA	120
WP_014106971.1	NC_016039	YP_004870056.1	trab	1428	protein TraB	WP_014106971.1	Escherichia coli O25b:H4-ST131	protein TraB (plasmid) [Escherichia coli]	plasmid|strain|host	pHK17a|P0014_S_T|pig	Escherichia coli	F-type conjugal transfer pilus assembly protein TraB [Escherichia coli]	NA	trab	pHK17a	NC_016039	Escherichia coli	TraB	475
WP_000069772.1	NC_016039	YP_004870064.1	trac	2631	protein TraC	WP_000069772.1	Escherichia coli O25b:H4-ST131	protein TraC (plasmid) [Escherichia coli]	plasmid|strain|host	pHK17a|P0014_S_T|pig	Enterobacteriaceae	MULTISPECIES: type IV secretion system protein TraC [Enterobacteriaceae]	NA	trac	pHK17a	NC_016039	Escherichia coli	TraC	876
WP_014106976.1	NC_016039	YP_004870084.1	trad	2163	protein TraD	WP_014106976.1	Escherichia coli	protein TraD (plasmid) [Escherichia coli]	plasmid|strain|host	pHK17a|P0014_S_T|pig	Escherichia coli	type IV conjugative transfer system coupling protein TraD [Escherichia coli]	NA	trad	pHK17a	NC_016039	Escherichia coli	TraD	720
WP_001030371.1	NC_016039	YP_004870072.1	traf	744	protein TraF	WP_001030371.1	Escherichia coli	protein TraF (plasmid) [Escherichia coli]	plasmid|strain|host	pHK17a|P0014_S_T|pig	Gammaproteobacteria	MULTISPECIES: type-F conjugative transfer system pilin assembly protein TraF [Gammaproteobacteria]	NA	traf	pHK17a	NC_016039	Escherichia coli	TraF	247
WP_012881124.1	NC_016039	YP_004870080.1	trag	2826	protein TraG	WP_012881124.1	Escherichia coli	protein TraG (plasmid) [Escherichia coli]	plasmid|strain|host	pHK17a|P0014_S_T|pig	Enterobacteriaceae	MULTISPECIES: conjugal transfer mating-pair stabilization protein TraG [Enterobacteriaceae]	NA	trag	pHK17a	NC_016039	Escherichia coli	TraG	941
WP_014106974.1	NC_016039	YP_004870079.1	trah	1374	protein TraH	WP_014106974.1	Escherichia coli	protein TraH (plasmid) [Escherichia coli]	plasmid|strain|host	pHK17a|P0014_S_T|pig	Enterobacteriaceae	MULTISPECIES: conjugal transfer pilus assembly protein TraH [Enterobacteriaceae]	NA	trah	pHK17a	NC_016039	Escherichia coli	TraH	457
WP_014106977.1	NC_016039	YP_004870085.1	trai	5271	protein TraI	WP_014106977.1	Escherichia coli	protein TraI (plasmid) [Escherichia coli]	plasmid|strain|host	pHK17a|P0014_S_T|pig	Enterobacteriaceae	MULTISPECIES: conjugative transfer relaxase/helicase TraI [Enterobacteriaceae]	NA	trai	pHK17a	NC_016039	Escherichia coli	TraI	1756
WP_000332523.1	NC_016039	YP_004870050.1	traj	648	protein TraJ	WP_000332523.1	Escherichia coli O25b:H4-ST131	protein TraJ (plasmid) [Escherichia coli]	plasmid|strain|host	pHK17a|P0014_S_T|pig	Enterobacteriaceae	MULTISPECIES: transcriptional regulator TraJ family protein [Enterobacteriaceae]	NA	traj	pHK17a	NC_016039	Escherichia coli	TraJ	215
WP_001230769.1	NC_016039	YP_004870055.1	trak	729	protein TraK	WP_001230769.1	Escherichia coli O25b:H4-ST131	protein TraK (plasmid) [Escherichia coli]	plasmid|strain|host	pHK17a|P0014_S_T|pig	Enterobacteriaceae	MULTISPECIES: type-F conjugative transfer system secretin TraK [Enterobacteriaceae]	NA	trak	pHK17a	NC_016039	Escherichia coli	TraK	242
WP_001151529.1	NC_016039	YP_004870049.1	tram	384	protein TraM	WP_001151529.1	Escherichia coli O25b:H4-ST131	protein TraM (plasmid) [Escherichia coli]	plasmid|strain|host	pHK17a|P0014_S_T|pig	Enterobacteriaceae	MULTISPECIES: conjugal transfer relaxosome DNA-binding protein TraM [Enterobacteriaceae]	NA	tram	pHK17a	NC_016039	Escherichia coli	TraM	127
